"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"50560",5187916,1,1,1,54,11,565.861184906052
"50561",5187916,1,2,2,54,11,565.861184906052
"50562",5187916,1,3,1,26,15,565.861184906052
"50563",5187916,1,4,1,24,14,565.861184906052
"50564",5187916,1,5,2,23,11,565.861184906052
"50565",5187916,1,6,1,21,15,565.861184906052
"50566",5187916,1,7,1,19,12,565.861184906052
"50567",5187917,1,1,2,30,11,518.886286746536
"50568",5187917,1,3,2,51,6,518.886286746536
"50569",5187918,1,1,2,55,11,460.165580934844
"50570",5187918,1,2,2,17,10,460.165580934844
"50571",5187918,1,3,2,15,8,460.165580934844
"50572",5187918,1,4,1,33,11,460.165580934844
"50573",5187918,1,5,2,30,11,460.165580934844
"50574",5187919,1,1,1,56,11,538.203660210698
"50575",5187919,1,2,2,49,6,538.203660210698
"50576",5187919,1,3,1,22,11,538.203660210698
"50577",5187919,1,4,2,21,13,538.203660210698
"50578",5187920,1,1,1,51,18,482.95499244316
"50579",5187920,1,2,1,22,14,482.95499244316
"50580",5187920,1,3,2,82,16,482.95499244316
"50581",5187920,1,4,2,57,18,482.95499244316
"50582",5187920,1,5,2,18,11,482.95499244316
